Z,A,E,Theta,omega,sigma,error,citation
1,2,0.22,180.0,0.0435,37.0,6.0,Parker:1986
1,2,0.22,180.0,0.0436,173.0,7.0,Parker:1986
1,2,0.22,180.0,0.0438,249.0,7.0,Parker:1986
1,2,0.22,180.0,0.044,275.0,7.0,Parker:1986
1,2,0.22,180.0,0.0442,264.0,6.0,Parker:1986
1,2,0.22,180.0,0.0444,234.0,6.0,Parker:1986
1,2,0.22,180.0,0.0445,204.0,6.0,Parker:1986
1,2,0.22,180.0,0.0447,198.0,6.0,Parker:1986
1,2,0.22,180.0,0.0449,203.0,6.0,Parker:1986
1,2,0.22,180.0,0.0451,186.0,6.0,Parker:1986
1,2,0.22,180.0,0.0453,183.0,6.0,Parker:1986
1,2,0.22,180.0,0.0454,175.0,6.0,Parker:1986
1,2,0.22,180.0,0.0456,172.0,6.0,Parker:1986
1,2,0.22,180.0,0.0458,165.0,5.0,Parker:1986
1,2,0.22,180.0,0.046,172.0,5.0,Parker:1986
1,2,0.22,180.0,0.0462,164.0,5.0,Parker:1986
1,2,0.22,180.0,0.0463,152.0,5.0,Parker:1986
1,2,0.22,180.0,0.0465,151.0,5.0,Parker:1986
1,2,0.22,180.0,0.0467,148.0,5.0,Parker:1986
1,2,0.22,180.0,0.0469,157.0,6.0,Parker:1986
1,2,0.22,180.0,0.0471,158.0,5.0,Parker:1986
1,2,0.22,180.0,0.0475,150.0,2.0,Parker:1986
1,2,0.22,180.0,0.0491,151.0,2.0,Parker:1986
1,2,0.22,180.0,0.0508,169.0,2.0,Parker:1986
1,2,0.22,180.0,0.0524,191.0,2.0,Parker:1986
1,2,0.22,180.0,0.054,239.0,3.0,Parker:1986
1,2,0.22,180.0,0.0557,284.0,3.0,Parker:1986
1,2,0.22,180.0,0.0573,339.0,3.0,Parker:1986
1,2,0.22,180.0,0.0589,443.0,5.0,Parker:1986
1,2,0.22,180.0,0.0606,486.0,4.0,Parker:1986
1,2,0.22,180.0,0.0622,563.0,6.0,Parker:1986
1,2,0.22,180.0,0.0639,673.0,6.0,Parker:1986
1,2,0.22,180.0,0.0655,794.0,6.0,Parker:1986
1,2,0.22,180.0,0.0671,873.0,6.0,Parker:1986
1,2,0.22,180.0,0.0704,972.0,9.0,Parker:1986
1,2,0.22,180.0,0.0721,972.0,8.0,Parker:1986
1,2,0.22,180.0,0.0737,942.0,7.0,Parker:1986
1,2,0.22,180.0,0.0754,895.0,7.0,Parker:1986
1,2,0.22,180.0,0.0771,848.0,5.0,Parker:1986
1,2,0.22,180.0,0.0787,767.0,5.0,Parker:1986
1,2,0.22,180.0,0.0804,668.0,4.0,Parker:1986
1,2,0.22,180.0,0.082,572.0,5.0,Parker:1986
1,2,0.22,180.0,0.0837,502.0,5.0,Parker:1986
1,2,0.22,180.0,0.0854,421.0,6.0,Parker:1986
1,2,0.22,180.0,0.087,367.0,6.0,Parker:1986
1,2,0.22,180.0,0.0887,301.0,6.0,Parker:1986
1,2,0.22,180.0,0.0904,262.0,7.0,Parker:1986
1,2,0.22,180.0,0.092,221.0,7.0,Parker:1986
1,2,0.22,180.0,0.0943,207.0,4.0,Parker:1986
1,2,0.22,180.0,0.0971,182.0,3.0,Parker:1986
1,2,0.22,180.0,0.1006,133.0,6.0,Parker:1986
1,2,0.22,180.0,0.1041,121.0,3.0,Parker:1986
1,2,0.22,180.0,0.1076,84.0,7.0,Parker:1986
1,2,0.22,180.0,0.1111,97.0,5.0,Parker:1986
1,2,0.22,180.0,0.1147,83.0,3.0,Parker:1986
1,2,0.22,180.0,0.1182,53.0,8.0,Parker:1986
1,2,0.22,180.0,0.1217,55.0,3.0,Parker:1986
1,2,0.22,180.0,0.1253,43.0,9.0,Parker:1986
1,2,0.22,180.0,0.1288,46.0,4.0,Parker:1986
1,2,0.22,180.0,0.1324,49.0,5.0,Parker:1986
1,2,0.22,180.0,0.136,37.0,4.0,Parker:1986
1,2,0.22,180.0,0.1395,34.0,7.0,Parker:1986
1,2,0.22,180.0,0.1431,39.0,3.0,Parker:1986
