Z N A b2 Qb T12cal T12exp 
37 66 103 0.40 13.814 9.371E-03 2.300E-02 
90 148 238 0.27 1.631 6.659E+01 5.640E+02 
54 83 137 -0.03 4.163 5.543E+01 2.291E+02 
82 133 215 0.00 2.713 2.201E+01 1.470E+02 
11 16 27 0.01 9.069 1.420E+00 3.010E-01 
33 53 86 0.17 11.541 1.884E-01 9.450E-01 
89 142 231 0.24 1.947 5.111E+01 4.500E+02 
28 41 69 -0.04 5.757 5.005E+00 1.150E+01 
58 91 149 0.30 4.369 4.514E+00 5.300E+00 
44 70 114 -0.22 5.489 8.953E-01 5.400E-01 
18 31 49 -0.15 12.421 2.038E-01 1.700E-01 
48 79 127 0.02 8.149 4.799E-01 3.300E-01 
37 62 99 0.41 11.400 3.190E-02 5.400E-02 
51 85 136 0.04 9.918 5.735E-01 9.230E-01 
44 71 115 -0.20 8.040 3.395E-01 3.220E-01 
62 99 161 0.35 5.120 1.081E+00 4.800E+00 
36 55 91 0.18 6.771 5.366E-01 8.570E+00 
24 40 64 0.00 9.509 7.167E-02 4.300E-02 
59 91 150 0.31 5.380 1.607E+00 6.190E+00 
13 19 32 0.11 12.979 3.835E-01 3.300E-02 
58 90 148 0.25 2.137 9.487E+01 5.600E+01 
11 18 29 0.01 13.283 1.306E-01 4.410E-02 
49 85 134 0.04 14.773 6.848E-02 1.260E-01 
19 28 47 -0.08 6.632 4.600E+00 1.750E+01 
40 58 98 -0.19 2.238 1.695E+02 3.070E+01 
13 23 36 0.31 18.386 1.207E-02 9.000E-02 
17 27 44 0.17 12.288 4.218E-01 5.600E-01 
64 101 165 0.35 4.113 3.976E+00 1.030E+01 
10 19 29 -0.07 15.720 3.156E-02 1.470E-02 
53 84 137 0.05 6.027 1.874E+00 2.413E+01 
15 26 41 0.27 14.029 1.005E-01 1.000E-01 
79 124 203 0.00 2.126 8.279E+01 6.000E+01 
26 38 64 0.00 4.822 9.846E+00 2.000E+00 
30 43 73 0.06 4.106 5.444E+01 2.350E+01 
70 109 179 0.30 2.522 3.657E+01 4.800E+02 
55 91 146 0.22 9.637 1.374E-01 3.230E-01 
46 77 123 0.02 9.118 2.795E-01 1.080E-01 
91 146 237 0.27 2.138 3.162E+01 5.220E+02 
43 60 103 -0.22 2.663 1.634E+02 5.420E+01 
17 26 43 0.21 7.850 3.095E+00 3.130E+00 
18 28 46 0.00 5.641 9.249E+00 8.400E+00 
81 129 210 0.01 5.482 7.972E+01 7.800E+01 
13 15 28 0.21 4.642 3.897E+02 1.345E+02 
24 42 66 0.00 12.030 4.096E-02 2.380E-02 
15 22 37 0.13 7.900 5.858E+00 2.310E+00 
49 86 135 0.04 14.104 4.054E-02 1.030E-01 
33 54 87 0.20 10.808 1.247E-01 6.100E-01 
70 110 180 0.29 2.076 3.796E+01 1.440E+02 
28 43 71 -0.02 7.305 1.287E+00 2.560E+00 
46 79 125 -0.02 10.400 1.120E-01 5.700E-02 
14 27 41 -0.29 17.100 1.339E-02 2.000E-02 
27 38 65 0.08 5.941 7.478E+00 1.160E+00 
10 15 25 -0.02 7.322 5.804E+00 6.020E-01 
48 75 123 0.00 6.016 2.668E+00 2.100E+00 
13 26 39 0.33 18.330 8.605E-03 7.600E-03 
46 73 119 0.05 7.238 7.841E-01 9.200E-01 
63 98 161 0.35 3.714 9.528E+00 2.600E+01 
41 65 106 -0.22 9.932 9.174E-02 1.050E+00 
31 51 82 0.09 12.484 2.266E-01 5.990E-01 
48 73 121 -0.02 4.762 1.010E+01 1.350E+01 
22 39 61 -0.04 14.156 9.523E-03 1.500E-02 
32 49 81 0.10 6.241 4.949E+00 8.000E+00 
41 74 115 -0.17 13.395 8.383E-03 2.300E-02 
53 88 141 0.16 8.270 2.506E-01 4.300E-01 
21 31 52 -0.07 9.027 1.103E+01 8.200E+00 
91 145 236 0.27 2.889 1.093E+02 5.460E+02 
39 70 109 0.44 12.993 1.193E-02 2.500E-02 
38 62 100 0.43 7.506 1.521E-01 2.020E-01 
55 84 139 0.09 4.213 1.096E+01 5.562E+02 
12 22 34 0.41 11.323 4.448E-02 2.000E-02 
36 64 100 0.40 11.195 2.569E-02 1.200E-02 
56 94 150 0.29 6.230 3.012E-01 3.000E-01 
19 34 53 -0.08 17.092 2.346E-02 3.000E-02 
63 100 163 0.35 4.829 2.476E+00 7.700E+00 
87 143 230 0.24 4.971 2.674E+00 1.910E+01 
39 61 100 0.44 9.050 5.832E-01 7.350E-01 
38 58 96 -0.18 5.412 9.826E-01 1.070E+00 
43 67 110 -0.23 9.038 1.414E+00 9.000E-01 
22 34 56 0.00 6.835 1.727E+00 2.000E-01 
28 46 74 0.00 7.550 3.415E-01 6.800E-01 
73 119 192 -0.16 6.585 1.004E+00 2.200E+00 
42 69 111 -0.23 9.085 4.423E-02 1.960E-01 
76 123 199 0.00 3.915 4.111E+00 6.000E+00 
27 39 66 -0.07 9.597 2.612E+00 1.940E-01 
64 100 164 0.35 2.304 3.888E+01 4.500E+01 
40 72 112 0.00 10.464 9.898E-03 3.000E-02 
10 22 32 0.34 18.359 2.641E-03 3.500E-03 
32 54 86 0.19 9.562 1.428E-01 2.190E-01 
44 79 123 0.03 12.280 4.191E-02 1.900E-02 
89 143 232 0.25 3.707 1.729E+01 1.188E+02 
42 64 106 -0.22 3.641 6.147E+00 8.730E+00 
